nbre_eleves_segpa;latitude;longitude;effectifs_filles;effectifs_garcons
0;49.001690714763306;2.405627168980533;259;295
60;49.231894423087184;4.005970510389876;229;226
0;41.92628305932155;8.734748563149186;333;325
0;46.94493413362061;2.003769733796371;196;200
56;48.68951802067975;2.436258518561435;367;349
18;5.475934800608943;-53.21192262991041;96;87
91;43.496704481468136;4.984210014527683;308;352
121;46.67961909845252;5.565940517303166;297;309
0;48.02775360167772;0.20255258707057774;238;244
0;41.94500358104066;8.775446258416242;293;383
0;49.511927377465774;0.17652108117012325;243;233
0;44.200614993648756;-0.916308634778351;191;186
51;-21.346637433006148;55.48971590341287;301;326
54;50.67211691461054;3.1825896596418874;170;231
0;49.29354577082032;2.5979493308925186;219;230
0;49.248815297865434;2.467662873811276;344;362
0;48.780804159789454;2.468276499660144;166;153
0;43.331237259962585;5.365677889611877;235;237
0;45.59073765125101;5.920809745457781;271;230
0;48.90421506495199;2.345992181917522;157;208
0;48.977042031503686;2.3982890277673703;324;305
0;48.69846285671614;6.134789846987164;151;113
63;49.51942738484198;0.10889908760472737;149;158
53;50.70825662279591;1.5844998448274454;244;275
49;49.926466699932085;1.106732011998031;158;157
20;49.165711612421944;6.934230187932992;141;166
102;47.632314175580554;6.169519556206805;268;281
0;48.95104612751377;2.319556052256796;223;227
0;47.38429543035467;0.694659408190326;207;211
0;47.33972365795748;4.992659804035509;157;156
0;45.17553965675825;5.764599912225057;202;199
0;-21.040354032871043;55.29541656597488;390;399
47;48.79240519888396;2.3012077647438076;197;218
0;15.893765120557136;-61.221080690278725;46;61
0;44.319785881767345;5.821639755386144;157;153
50;43.39115939977601;6.317691492908425;438;486
0;48.18499326867896;6.4221073701919025;352;333
64;45.8628286393282;3.5358697821799767;350;314
0;4.889986958705637;-52.34283961232714;398;373
0;48.310704200304684;4.03975640245375;289;295
0;48.78459769818388;2.3591802444927237;202;192
56;44.498934992975315;0.9590908300321754;158;186
0;44.3820803985102;4.698560426694903;191;196
0;-12.843618744372092;45.18607944368876;909;841
0;48.923364768068;2.3857365584390005;335;348
62;49.477774133334776;1.0398143289156496;318;311
54;-20.88777310526711;55.49644953313609;180;244
74;44.46354320618618;1.4550500739231473;290;324
0;48.858743391511226;2.4046301943144464;240;236
46;50.4584602905091;3.585310527359675;226;252
0;48.82891797678627;2.377939274649507;267;247
84;46.335101606306985;-0.4546243153449538;297;318
0;49.39673043511122;1.0680494706698562;99;139
0;45.299822399133554;-0.9266261293803881;321;319
47;49.73617300991933;4.857620152158673;156;167
0;43.56994589845756;6.963340154600625;267;280
52;47.21486580010774;-1.6039894137236577;167;203
0;42.9398982453581;1.8527298202476252;127;147
0;43.41282157756637;4.992829441665292;231;260
63;48.94547123341275;2.5199673191027494;341;334
0;44.19494104848643;0.6313424011554384;288;273
